"id";"beginlifespanversion";"endlifespanversion";"creationdate";"alternatieveid";"rioollinktypeid";"startkoppelpuntid";"endkoppelpuntid";"diameter";"pressure";"label";"namespaceid";"omschrijving";"sewerwatertypeid";"straatid";"user_id";"st_astext"
"634926";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20080497";"1";"125113";"125114";"1000";"1";"(null)";"1";"(null)";"0";"(null)";"(null)";"LINESTRING(137656.980431153 197642.412070994,137661.2303998 197644.98212505)"
"856262";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6522762";"1";"442216";"125412";"1000";"1";"(null)";"2";"(null)";"2";"9328";"(null)";"LINESTRING(138725.225370972 197687.88229049,138619.924583851 197606.913985676,138554.89827432 197568.737234677,138545.721786299 197566.85435487,138543.762445077 197567.380918211)"
"844908";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6512123";"1";"442225";"427935";"1000";"1";"(null)";"1";"(null)";"0";"9360";"(null)";"LINESTRING(137490.587253198 199269.555145689,137492.312317765 199268.335537201,137556.815977889 199202.59619353,137584.248572188 199197.159046101,137605.255472213 199176.893556213,137664.5692614 199118.568453661,137686.811844981 199099.044373907,137692.496129124 199092.865816345,137702.356017247 199090.226988949)"
"844909";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6512127";"1";"427936";"125114";"1000";"1";"(null)";"1";"(null)";"0";"9182";"(null)";"LINESTRING(137646.395068179 197682.013911791,137648.728748832 197670.123532791,137661.2303998 197644.98212505)"
"856264";"2/6/2014 12:50:41 AM";"(null)";"2/6/2014 12:50:41 AM";"6522763";"1";"125679";"442217";"1000";"1";"(null)";"2";"(null)";"2";"9286";"(null)";"LINESTRING(139752.748666685 198187.341250729,139717.029863616 198180.462099725,139719.718733401 198168.093522373)"
"856265";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6522778";"1";"442219";"442218";"1000";"1";"(null)";"2";"(null)";"2";"9258";"(null)";"LINESTRING(138663.782264226 197100.582164753,138699.299220346 197061.341663552,138708.654630873 197058.576751703)"
"856266";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6522777";"1";"359068";"442218";"1000";"1";"(null)";"2";"(null)";"2";"9258";"(null)";"LINESTRING(138719.383131841 197171.950438426,138721.162292513 197113.951589877,138708.482557744 197058.858974,138708.654630873 197058.576751703)"
"856267";"2/6/2014 12:50:41 AM";"(null)";"2/6/2014 12:50:41 AM";"6522780";"1";"442218";"508840";"1000";"1";"(null)";"2";"(null)";"2";"9258";"(null)";"LINESTRING(138708.654630873 197058.576751703,138710.295406166 197048.290944147,138729.874700292 197002.253484467,138727.757963178 196989.553481129,138703.945474393 196978.440855897,138627.745314587 196922.87828887,138490.690814864 196877.898988063,138453.546921993 196861.452794755,138415.817756831 196840.452604324,138410.576166108 196836.947260823)"
"856268";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6522785";"1";"442221";"359037";"1000";"1";"(null)";"2";"(null)";"2";"9331";"(null)";"LINESTRING(140720.017572158 196609.470498763,140602.29285353 196593.622996929,140578.359871619 196596.210384102,140551.867878525 196599.074262459,140530.170309672 196604.619182741,140522.937087805 196606.39526818)"
"856269";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6522788";"1";"442222";"124970";"1000";"1";"(null)";"2";"(null)";"2";"9209";"(null)";"LINESTRING(136811.931951902 198348.990186303,136775.784992865 198372.529538698,136730.601468799 198396.07056849,136722.369495913 198405.564643959)"
"856270";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6522792";"1";"442224";"442225";"1000";"1";"(null)";"2";"(null)";"2";"9321";"(null)";"LINESTRING(137085.441421117 199217.363590478,137102.143277909 199215.903275308,137132.696392538 199212.031140674,137158.606607921 199216.16117533,137179.490219154 199223.766919446,137210.913204683 199241.647288465,137237.491863365 199254.556826834,137276.97992063 199269.36490073,137310.335548789 199280.488009702,137341.403345187 199291.316595457,137367.056778818 199299.824779963,137372.471001802 199301.629520959,137407.14828019 199312.716006733,137429.063211931 199318.259109834,137439.247257312 199319.032670108,137447.110901446 199318.388129737,137456.263626322 199313.360547109,137482.743178713 199277.5355088,137488.626234577 199270.391748186,137490.587253198 199269.555145689)"
"856271";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6522793";"1";"125120";"442225";"1000";"1";"(null)";"1";"(null)";"0";"9182";"(null)";"LINESTRING(137560.810422824 199333.212138925,137490.447330207 199271.932578485,137490.587253198 199269.551371543)"
"856272";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6522800";"1";"442227";"125114";"1000";"1";"(null)";"2";"(null)";"2";"9188";"(null)";"LINESTRING(137731.243195713 197499.260647102,137669.726982299 197639.672320125,137661.2303998 197644.98212505)"
"856277";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6522820";"1";"125392";"442232";"1000";"1";"(null)";"2";"(null)";"2";"9350";"(null)";"LINESTRING(138375.054736952 196486.505587079,138354.502132352 196512.030420158)"
"856286";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6522849";"2";"125360";"442245";"1000";"1";"(null)";"2";"(null)";"2";"9390";"(null)";"LINESTRING(138032.50047047 196752.14204672,138027.410684311 196736.15364342,138013.738209199 196715.644930748,138021.713819683 196705.065159108,138021.550972246 196701.484332674,138020.605338846 196697.79014206)"
"856291";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6522925";"1";"125395";"442250";"1000";"1";"(null)";"2";"(null)";"2";"9313";"(null)";"LINESTRING(138411.885794974 196947.444768261,138421.053896 196974.005534696,138429.031044097 196995.142153537,138431.60920558 197007.388700148,138432.103898352 197009.367331454)"
"856292";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6522926";"1";"442251";"442250";"1000";"1";"(null)";"2";"(null)";"0";"9313";"(null)";"LINESTRING(138336.181446191 197106.064601921,138348.215522328 197093.713777036,138378.934419842 197070.278702915,138385.584885517 197061.094806384,138395.085530797 197046.210410862,138412.820105929 197023.092225269,138424.85432185 197007.574472032,138432.103898352 197009.367331454)"
"856293";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6522927";"1";"442253";"427936";"1000";"1";"(null)";"1";"(null)";"0";"9182";"(null)";"LINESTRING(137760.577260961 197882.396075517,137758.69032744 197880.120684462,137732.908013693 197849.697568215,137713.700263338 197825.977755695,137698.488635326 197806.512105319,137670.772560684 197768.869885309,137652.725010954 197733.161426198,137648.213088576 197717.692037947,137646.021567447 197688.686882562,137646.021567448 197683.917060163,137646.395068179 197682.013911791)"
"856294";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6522928";"1";"442254";"442253";"1000";"1";"(null)";"4";"(null)";"2";"9182";"(null)";"LINESTRING(137595.604560057 198115.520358887,137721.731088183 197909.934066351,137750.740297283 197887.862018288,137760.577260961 197882.396075517)"
"864411";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6530578";"1";"452522";"125360";"1000";"1";"(null)";"2";"(null)";"2";"(null)";"(null)";"LINESTRING(138035.754064413 196757.713106465,138034.246362734 196755.262986399,138032.50047047 196752.14204672)"
"868142";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6534748";"1";"457325";"125643";"1000";"1";"(null)";"2";"(null)";"2";"9204";"(null)";"LINESTRING(139456.224591222 197538.73137137,139484.25461895 197543.206670552,139500.507492078 197547.682109513,139527.595380986 197559.930613091,139534.190772077 197553.810065559)"
"868143";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6534724";"1";"457327";"457326";"1000";"1";"(null)";"2";"(null)";"2";"9372";"(null)";"LINESTRING(140319.093192858 197835.886568122,140211.44991873 197930.331511762,140201.071994038 197937.93222368,140199.115308696 197939.598159951)"
"868144";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6534719";"1";"457326";"136564";"1000";"1";"(null)";"2";"(null)";"0";"9365";"(null)";"LINESTRING(140199.115308696 197939.598159951,140200.535086737 197942.7717979,140213.2972936 197971.905833405,140231.473863231 198008.387713004,140248.877012373 198042.291570908,140268.471542862 198082.383072282,140300.626013914 198145.331085085,140307.9664495 198158.035561487)"
"880092";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6547332";"1";"125586";"471469";"1000";"1";"(null)";"1";"(null)";"2";"9373";"(null)";"LINESTRING(139171.690420457 196077.032066938,139129.920402319 196149.61212123,139085.840466675 196221.152048674,139066.180657423 196239.277597437)"
"906277";"2/6/2014 12:50:41 AM";"(null)";"2/6/2014 12:50:41 AM";"6575089";"1";"508840";"125387";"1000";"1";"(null)";"2";"(null)";"0";"9258";"(null)";"LINESTRING(138410.576166108 196836.947260823,138403.003969963 196835.825360795,138378.444339933 196822.655825663,138374.50133521 196821.369121236)"
"906278";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6575107";"1";"508842";"125342";"1000";"1";"(null)";"2";"(null)";"2";"9324";"(null)";"LINESTRING(138698.655798324 195859.63241591,138672.700153394 195915.591827456,138671.130387971 195920.022116442)"
"906280";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6575113";"1";"508845";"125388";"1000";"1";"(null)";"2";"(null)";"0";"9397";"(null)";"LINESTRING(138420.162638328 196090.77960558,138453.976475843 196098.637937956,138458.2904652 196096.242053777)"
"906281";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6575125";"1";"125099";"508848";"1000";"1";"(null)";"2";"(null)";"0";"9203";"(null)";"LINESTRING(137824.306801788 196230.694908397,137825.259284566 196232.119858416,137827.878682095 196238.311136253)"
"906282";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6575168";"1";"136564";"398927";"1000";"1";"(null)";"2";"(null)";"0";"9365";"(null)";"LINESTRING(140307.9664495 198158.035561487,140308.64887112 198159.216589808,140326.237233013 198187.604881901,140326.545734552 198191.61624061,140323.395999532 198196.789756913)"
"913479";"1/21/2014 3:16:11 AM";"(null)";"1/21/2014 3:16:11 AM";"6582927";"1";"517872";"136580";"1000";"1";"(null)";"4";"(null)";"2";"9185";"(null)";"LINESTRING(140570.695278673 197995.75117127,140543.663163262 198026.854193035,140537.637947876 198024.085926387,140534.160421235 198022.822146405)"
"634139";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079710";"1";"125647";"125655";"1000";"1";"(null)";"2";"(null)";"0";"9238";"(null)";"LINESTRING(139594.005684035 197909.383600209,139633.066004686 197897.1370536,139654.594156291 197893.527431829)"
"634140";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079711";"1";"125655";"125661";"1000";"1";"(null)";"2";"(null)";"0";"9238";"(null)";"LINESTRING(139654.594156291 197893.527431829,139700.486800567 197914.540062966)"
"634080";"2/6/2014 12:50:41 AM";"(null)";"2/6/2014 12:50:41 AM";"20079651";"1";"442252";"125410";"1000";"1";"(null)";"2";"(null)";"2";"9313";"(null)";"LINESTRING(138320.376578236 197215.199922,138324.225788426 197223.960275413,138330.026931329 197235.046761183,138334.667733825 197247.808968049,138338.534976049 197258.250773666,138342.91801831 197270.884100415,138343.782018316 197280.876782585,138344.098627281 197289.110712436,138353.916021308 197298.611217931,138373.55066958 197312.862255744,138394.452173064 197328.063400019,138420.737287009 197348.331406008,138433.156186316 197352.48520381)"
"634081";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079652";"1";"125371";"125372";"1000";"1";"(null)";"2";"(null)";"0";"9313";"(null)";"LINESTRING(138103.78683119 196593.324419823,138173.399148197 196669.640180349)"
"634086";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079657";"1";"125346";"125342";"1000";"1";"(null)";"2";"(null)";"0";"9280";"(null)";"LINESTRING(138745.380432247 195955.212119643,138741.000465217 195951.602078521,138671.130387971 195920.022116442)"
"634087";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079658";"1";"125342";"125336";"1000";"1";"(null)";"2";"(null)";"0";"9280";"(null)";"LINESTRING(138671.130387971 195920.022116442,138654.750451907 195912.412039048,138619.690447096 195896.682094896,138586.690427418 195881.212147512)"
"634088";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079659";"1";"125336";"125333";"1000";"1";"(null)";"2";"(null)";"0";"9280";"(null)";"LINESTRING(138586.690427418 195881.212147512,138544.410480145 195860.722165787,138518.861324787 195854.038711274,138488.070438919 195915.762083392)"
"634103";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079674";"1";"398779";"125382";"1000";"1";"(null)";"2";"(null)";"0";"9213";"(null)";"LINESTRING(138576.156364863 196179.620360878,138571.09173968 196187.639443938,138562.884368638 196198.133668257,138554.417699746 196205.542038484,138532.8049793 196212.132676941,138521.589613411 196210.8435962,138508.182726392 196208.136414814,138489.103856153 196203.237712298,138472.603147398 196198.468029683,138430.835785148 196187.123783675,138405.955772005 196181.064880534,138392.935804905 196178.228958814,138383.78308003 196177.584278661,138377.720402744 196177.842038896)"
"634104";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079675";"1";"125382";"125385";"1000";"1";"(null)";"2";"(null)";"0";"9213";"(null)";"LINESTRING(138377.720402744 196177.842038896,138371.665273752 196181.838440803,138364.059529636 196190.346625308,138353.359824 196203.495612308,138346.78540039 196215.484398684,138328.093170501 196251.192857794,138314.944183499 196273.236809434)"
"634105";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079676";"1";"125385";"125377";"1000";"1";"(null)";"2";"(null)";"0";"9213";"(null)";"LINESTRING(138314.944183499 196273.236809434,138306.307118876 196285.741256066,138300.89289589 196293.347000179,138255.703780493 196358.145882431)"
"634106";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079677";"1";"125377";"125370";"1000";"1";"(null)";"2";"(null)";"0";"9213";"(null)";"LINESTRING(138255.703780493 196358.149796362,138255.089013945 196358.965571161,138217.229151479 196413.234863942,138198.923701727 196439.532837942)"
"634107";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079678";"1";"125397";"125401";"1000";"1";"(null)";"2";"(null)";"0";"9213";"(null)";"LINESTRING(138578.826363914 196175.392897326,138603.70637706 196135.688036307)"
