"id";"beginlifespanversion";"endlifespanversion";"creationdate";"alternatieveid";"rioollinktypeid";"startkoppelpuntid";"endkoppelpuntid";"diameter";"pressure";"label";"namespaceid";"omschrijving";"sewerwatertypeid";"straatid";"user_id";"st_astext"
"856268";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6522785";"1";"442221";"359037";"1000";"1";"(null)";"2";"(null)";"2";"9331";"(null)";"LINESTRING(140720.017572158 196609.470498763,140602.29285353 196593.622996929,140578.359871619 196596.210384102,140551.867878525 196599.074262459,140530.170309672 196604.619182741,140522.937087805 196606.39526818)"
"868144";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6534719";"1";"457326";"136564";"1000";"1";"(null)";"2";"(null)";"0";"9365";"(null)";"LINESTRING(140199.115308696 197939.598159951,140200.535086737 197942.7717979,140213.2972936 197971.905833405,140231.473863231 198008.387713004,140248.877012373 198042.291570908,140268.471542862 198082.383072282,140300.626013914 198145.331085085,140307.9664495 198158.035561487)"
"891506";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6559691";"1";"136659";"485241";"1000";"1";"(null)";"1";"(null)";"0";"9374";"(null)";"LINESTRING(140322.870414595 199256.772111322,140296.832157792 199285.515592542,140296.316637321 199287.255194562)"
"906282";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"6575168";"1";"136564";"398927";"1000";"1";"(null)";"2";"(null)";"0";"9365";"(null)";"LINESTRING(140307.9664495 198158.035561487,140308.64887112 198159.216589808,140326.237233013 198187.604881901,140326.545734552 198191.61624061,140323.395999532 198196.789756913)"
"634152";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079723";"1";"125663";"125664";"1000";"1";"(null)";"2";"(null)";"0";"9184";"(null)";"LINESTRING(139835.33048911 197487.072110667,139847.574938974 197475.209129179,139870.65049069 197455.102153447)"
"634187";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079758";"1";"136660";"136659";"1000";"1";"(null)";"2";"(null)";"0";"9374";"(null)";"LINESTRING(140328.931134916 199257.541757665,140324.68647803 199256.712144327,140322.870414595 199256.772111322)"
"634227";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079798";"1";"125652";"125663";"1000";"1";"(null)";"2";"(null)";"0";"9288";"(null)";"LINESTRING(139650.080416768 197356.742161701,139767.000403465 197441.692051408,139835.33048911 197487.072110667)"
"634245";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079816";"1";"359037";"136512";"1000";"1";"(null)";"2";"(null)";"2";"9331";"(null)";"LINESTRING(140522.937087805 196606.39526818,140466.286028943 196637.791555112,140448.487852453 196638.639060698,140339.155997184 196603.042567929,140255.25028805 196582.701874669,140238.29961715 196570.836377079,140208.398730968 196574.245549731)"
"634259";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079830";"1";"136562";"136574";"1000";"1";"(null)";"2";"(null)";"2";"9178";"(null)";"LINESTRING(140288.581733581 198453.64866983,140304.05112183 198466.410876695,140313.332866605 198481.106844458,140388.617166828 198605.248730591,140419.040422853 198661.067520234,140428.708668196 198686.076413495,140445.725037202 198737.12538074)"
"634260";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079831";"1";"136574";"136579";"1000";"1";"(null)";"2";"(null)";"2";"9178";"(null)";"LINESTRING(140445.725037202 198737.12538074,140462.999306224 198803.643876016,140486.203318699 198900.585347758,140487.879179576 198907.5465515)"
"634303";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20079874";"1";"125651";"125652";"1000";"1";"(null)";"2";"(null)";"0";"9254";"(null)";"LINESTRING(139663.102340847 197170.719787131,139657.289176587 197176.164203288,139648.148612842 197289.189550254,139646.73065198 197339.46509701,139650.080416768 197356.742161701)"
"634439";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20080010";"1";"125664";"136514";"1000";"1";"(null)";"2";"(null)";"0";"9365";"(null)";"LINESTRING(139870.65049069 197455.102153447,139877.611414867 197469.279245944,139879.54503598 197473.404388186,139884.443738493 197483.201653433,139889.471181342 197492.354378306,139896.432524869 197501.507103185,139905.06958949 197512.722469072,139921.956938597 197534.508520697,139932.527764114 197548.30204807,139954.442695853 197571.377180435,139978.420268605 197597.546274321,139998.272699114 197618.816665691,140017.867229604 197639.70041671,140029.598255745 197655.169804961)"
"634441";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20080012";"1";"136515";"457326";"1000";"1";"(null)";"2";"(null)";"0";"9365";"(null)";"LINESTRING(140037.590779996 197663.29120933,140050.99752723 197682.756859706,140068.142776355 197702.867190235,140078.326821736 197716.273937473,140088.252967099 197732.001225742,140096.890171503 197746.052513348,140104.624795735 197758.428079861,140106.687436748 197761.521901597,140124.477226243 197794.523319112,140141.106815114 197828.813817365,140153.869021978 197853.435930491,140165.857808353 197876.382182739,140183.260957495 197907.83661949,140198.343565607 197937.873095383,140199.115308696 197939.598159951)"
"634489";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20080060";"1";"136674";"136675";"1000";"1";"(null)";"1";"(null)";"0";"(null)";"(null)";"LINESTRING(140921.022330066 199634.479478256,140935.330399423 199658.712155363)"
"634491";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20080062";"1";"136579";"136576";"1000";"1";"(null)";"2";"(null)";"2";"9277";"(null)";"LINESTRING(140487.879179576 198907.5465515,140466.737668323 198917.859616781,140454.491121711 198926.238781385)"
"634597";"1/21/2014 2:06:06 AM";"(null)";"1/21/2014 2:06:06 AM";"20080168";"1";"398927";"136558";"1000";"1";"(null)";"2";"(null)";"0";"9231";"(null)";"LINESTRING(140323.395999532 198196.789756913,140132.34045099 198315.582139667)"
